Designator,Footprint,Quantity,Value,LCSC Part #
"C202, C203, C204, C205",1206,4,22pF,
"Cbias1, Cbias2",1206,2,10uF,
Cbias3,1206,1,10nF,
Ccor1,1206,1,0.01,
"Ccor2, Ccor4",1206,2,0.1,
Ccor3,1206,1,2.2uF 12V,
Cinshunt1,1206,1,60pF,
Cinshunt1v1,C_Trimmer_Murata_TZB4-B,1,60pF,
"Cout1, Coutshunt2v1",C_Trimmer_Murata_TZB4-B,2,6-60pF,
"Cout1v1, Coutshunt2",1206,2,6-60pF,
Coutshunt1,1206,1,DNP/6-60pF,
Coutshunt1v1,C_Trimmer_Murata_TZB4-B,1,DNP/6-60pF,
Cpow1,C_Elec_8x10.2,1,100uF,
"Cpow2, Cr8",1206,2,100nF,
Cpow3,1206,1,1nF,
Crf_in1,1206,1,100nF or 10nF,
Crf_in1v1,C_Trimmer_Murata_TZB4-B,1,10n-100n,
"Dcor1, Dcor2, Dcor3",D_SOD-123,3,1N4148W,
"Dcor4z1, Dzener1",D_SOD-123,2,12V,
J1,SMA_EDGELAUNCH_Modded,1,RF_in,
J2,SMA_EDGELAUNCH_Modded,1,RF_out,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
"L1, L2",L_Wuerth_HCM-1050,2,3T D=6mm d=1mm,
L3,L_Wuerth_HCM-1050,1,100uH,
L6,L_Wuerth_HCM-1050,1,6T D=6mm d=1mm,
L7,L_Wuerth_HCM-1050,1,2T D=6mm d=1mm,
L8,L_Wuerth_HCM-1050,1,(shorted),
Q1,SO2A_TO-220F-3_Vertical_SMD,1,RD15HVF1,
Q2,SOT-23,1,MMBT3904,
R1,2010,1,27R 3W,
R6,0805,1,10k,
R8,2010,1,51R 3W,
"RLY1, RLY2",RELAY-SMD_HFD4-XX-SR,2,HFD4/12-S,C44212
RV1,Potentiometer_Vishay_TS53YL_Vertical,1,10k,
"Ratt1, Ratt3",2010,2,270R 3W,
Ratt2,2010,1,18R 3W,
"Rcor1, Rcor2",0805,2,1k,
Rcor3,0805,1,47k,
U1,SOT-89-3,1,L78L05_SOT89,
