Designator,Mid X,Mid Y,Rotation,Layer
C202,151.3,-96.6,90.0,top
C203,136.7,-92.875,270.0,top
C204,136.7,-97.475,90.0,top
C205,124.4,-90.775,90.0,top
Cbias1,152.2,-72.675,270.0,top
Cbias2,158.9,-68.2625,90.0,top
Cbias3,162.4,-73.0,0.0,top
Ccor1,127.475,-69.55,0.0,top
Ccor2,134.1,-73.025,90.0,top
Ccor3,128.025,-82.45,0.0,top
Ccor4,128.075,-80.15,0.0,top
Cinshunt1,176.3,-56.075,90.0,top
Cinshunt1v1,172.7,-58.0,270.0,top
Cout1,159.3,-88.9,180.0,top
Cout1v1,159.225,-92.4,0.0,top
Coutshunt1,171.125,-96.5,0.0,top
Coutshunt1v1,177.7,-96.5,0.0,top
Coutshunt2,155.0,-96.6,90.0,top
Coutshunt2v1,152.2,-90.0,90.0,top
Cpow1,144.8,-70.3,270.0,top
Cpow2,139.6,-61.975,90.0,top
Cpow3,142.3,-61.875,90.0,top
Cr8,174.825,-67.5,0.0,top
Crf_in1,165.7,-51.7,0.0,top
Crf_in1v1,165.9,-55.1,0.0,top
Dcor1,128.8,-73.05,270.0,top
Dcor2,132.25,-69.55,180.0,top
Dcor3,116.0,-76.3,0.0,top
Dcor4z1,122.2,-78.6,180.0,top
Dzener1,149.5,-64.4,0.0,top
J1,101.9,-65.0,0.0,top
J2,102.02255,-86.8,0.0,top
L1,143.725,-94.4,180.0,top
L2,129.5,-92.475,90.0,top
L3,129.575,-63.6,180.0,top
L6,176.925,-78.0,0.0,top
L7,178.9,-87.5,270.0,top
L8,169.3,-90.3,180.0,top
Q1,188.03,-68.89375,270.0,top
Q2,128.0375,-77.2,180.0,top
R1,183.5875,-60.6,0.0,top
R6,179.4875,-69.2,0.0,top
R8,180.7,-66.2,180.0,top
RLY1,115.17,-66.5,90.0,top
RLY2,115.33,-85.1,270.0,top
RV1,163.95,-67.45,90.0,top
Ratt1,146.0,-57.2,90.0,top
Ratt2,153.3875,-54.1,0.0,top
Ratt3,159.1,-57.4,90.0,top
Rcor1,122.9,-67.3,270.0,top
Rcor2,136.275,-70.9625,270.0,top
Rcor3,136.275,-74.3625,270.0,top
U1,155.1,-67.4625,270.0,top
